AElig	Æ
UpArrowBar;	⤒
UpArrowDownArrow;	⇅
UpDownArrow;	↕
UpEquilibrium;	⥮
UpTee;	⊥
UpTeeArrow;	↥
Uparrow;	⇑
Updownarrow;	⇕
UpperLeftArrow;	↖
UpperRightArrow;	↗
Upsi;	ϒ
Uring;	Ů
Uscr;	𝒰
Utilde;	Ũ
Uuml	Ü
VDash;	⊫
Vbar;	⫫
Vcy;	В
Vdash;	⊩
Vdashl;	⫦
Vee;	⋁
Verbar;	‖
Vert;	‖
VerticalBar;	∣
VerticalLine;	|
VerticalSeparator;	❘
VerticalTilde;	≀
VeryThinSpace;	 
Vfr;	𝔙
Vopf;	𝕍
Vscr;	𝒱
Vvdash;	⊪
Wcirc;	Ŵ
Wedge;	⋀
Wfr;	𝔚
Wopf;	𝕎
Wscr;	𝒲
Xfr;	𝔛
Xopf;	𝕏
Xscr;	𝒳
YAcy;	Я
YIcy;	Ї
YUcy;	Ю
Yacute	Ý
Ycirc;	Ŷ
Ycy;	Ы
Yfr;	𝔜
Yopf;	𝕐
Yscr;	𝒴
ZHcy;	Ж
Zacute;	Ź
Zcaron;	Ž
Zcy;	З
Zdot;	Ż
ZeroWidthSpace;	​
Zfr;	ℨ
Zopf;	ℤ
Zscr;	𝒵
aacute	á
abreve;	ă
ac;	∾
acE;	∾̳
acd;	∿
acirc	â
acute	´
acy;	а
aelig	æ
af;	⁡
afr;	𝔞
agrave	à
aleph;	ℵ
amacr;	ā
amalg;	⨿
amp	&
andand;	⩕
andd;	⩜
andslope;	⩘
andv;	⩚
ange;	⦤
angle;	∠
angmsd;	∡
angmsdaa;	⦨
angmsdab;	⦩
angmsdac;	⦪
angmsdad;	⦫
angmsdae;	⦬
angmsdaf;	⦭
angmsdag;	⦮
angmsdah;	⦯
angrt;	∟
angrtvb;	⊾
angrtvbd;	⦝
angsph;	∢
angst;	Å
angzarr;	⍼
aogon;	ą
aopf;	𝕒
ap;	≈
apE;	⩰
apacir;	⩯
ape;	≊
apid;	≋
apos;	'
approx;	≈
approxeq;	≊
aring	å
ascr;	𝒶
ast;	*
asympeq;	≍
atilde	ã
auml	ä
awconint;	∳
awint;	⨑
bNot;	⫭
backcong;	≌
backepsilon;	϶
backprime;	‵
backsim;	∽
backsimeq;	⋍
barvee;	⊽
barwed;	⌅
barwedge;	⌅
bbrk;	⎵
bbrktbrk;	⎶
bcong;	≌
bcy;	б
becaus;	∵
because;	∵
bemptyv;	⦰
bepsi;	϶
bernou;	ℬ
beth;	ℶ
between;	≬
bfr;	𝔟
bigcap;	⋂
bigcirc;	◯
bigcup;	⋃
bigodot;	⨀
bigoplus;	⨁
bigotimes;	⨂
bigsqcup;	⨆
bigstar;	★
bigtriangledown;	▽
bigtriangleup;	△
biguplus;	⨄
bigvee;	⋁
bigwedge;	⋀
bkarow;	⤍
blacklozenge;	⧫
blacksquare;	▪
blacktriangle;	▴
blacktriangledown;	▾
blacktriangleleft;	◂
blacktriangleright;	▸
blank;	␣
blk12;	▒
blk14;	░
blk34;	▓
block;	█
bne;	=⃥
bnequiv;	≡⃥
bnot;	⌐
bopf;	𝕓
bot;	⊥
bottom;	⊥
bowtie;	⋈
boxDL;	╗
boxDR;	╔
boxDl;	╖
boxDr;	╓
boxH;	═
boxHD;	╦
boxHU;	╩
boxHd;	╤
boxHu;	╧
boxUL;	╝
boxUR;	╚
boxUl;	╜
boxUr;	╙
boxV;	║
boxVH;	╬
boxVL;	╣
boxVR;	╠
boxVh;	╫
boxVl;	╢
boxVr;	╟
boxbox;	⧉
boxdL;	╕
boxdR;	╒
boxdl;	┐
boxdr;	┌
boxh;	─
boxhD;	╥
boxhU;	╨
boxhd;	┬
boxhu;	┴
boxminus;	⊟
boxplus;	⊞
boxtimes;	⊠
boxuL;	╛
boxuR;	╘
boxul;	┘
boxur;	└
boxv;	│
boxvH;	╪
boxvL;	╡
boxvR;	╞
boxvh;	┼
boxvl;	┤
boxvr;	├
bprime;	‵
breve;	˘
brvbar	¦
bscr;	𝒷
bsemi;	⁏
bsim;	∽
bsime;	⋍
bsol;	\\
bsolb;	⧅
bsolhsub;	⟈
bullet;	•
bump;	≎
bumpE;	⪮
bumpe;	≏
bumpeq;	≏
cacute;	ć
capand;	⩄
capbrcup;	⩉
capcap;	⩋
capcup;	⩇
capdot;	⩀
caps;	∩︀
caret;	⁁
caron;	ˇ
ccaps;	⩍
ccaron;	č
ccedil	ç
ccirc;	ĉ
ccups;	⩌
ccupssm;	⩐
cdot;	ċ
cedil	¸
cemptyv;	⦲
cent	¢
centerdot;	·
cfr;	𝔠
chcy;	ч
check;	✓
checkmark;	✓
cir;	○
cirE;	⧃
circeq;	≗
circlearrowleft;	↺
circlearrowright;	↻
circledR;	®
circledS;	Ⓢ
circledast;	⊛
circledcirc;	⊚
circleddash;	⊝
cire;	≗
cirfnint;	⨐
cirmid;	⫯
cirscir;	⧂
clubsuit;	♣
colon;	:
colone;	≔
coloneq;	≔
comma;	,
commat;	@
comp;	∁
compfn;	∘
complement;	∁
complexes;	ℂ
congdot;	⩭
conint;	∮
copf;	𝕔
coprod;	∐
copy	©
copysr;	℗
cross;	✗
cscr;	𝒸
csub;	⫏
csube;	⫑
csup;	⫐
csupe;	⫒
ctdot;	⋯
cudarrl;	⤸
cudarrr;	⤵
cuepr;	⋞
cuesc;	⋟
cularr;	↶
cularrp;	⤽
cupbrcap;	⩈
cupcap;	⩆
cupcup;	⩊
cupdot;	⊍
cupor;	⩅
cups;	∪︀
curarr;	↷
curarrm;	⤼
curlyeqprec;	⋞
curlyeqsucc;	⋟
curlyvee;	⋎
curlywedge;	⋏
curren	¤
curvearrowleft;	↶
curvearrowright;	↷
cuvee;	⋎
cuwed;	⋏
cwconint;	∲
cwint;	∱
cylcty;	⌭
dHar;	⥥
daleth;	ℸ
dash;	‐
dashv;	⊣
dbkarow;	⤏
dblac;	˝
dcaron;	ď
dcy;	д
dd;	ⅆ
ddagger;	‡
ddarr;	⇊
ddotseq;	⩷
deg	°
demptyv;	⦱
dfisht;	⥿
dfr;	𝔡
dharl;	⇃
dharr;	⇂
diam;	⋄
diamond;	⋄
diamondsuit;	♦
die;	¨
digamma;	ϝ
disin;	⋲
div;	÷
divide	÷
divideontimes;	⋇
divonx;	⋇
djcy;	ђ
dlcorn;	⌞
dlcrop;	⌍
dollar;	$
dopf;	𝕕
dot;	˙
doteq;	≐
doteqdot;	≑
dotminus;	∸
dotplus;	∔
dotsquare;	⊡
doublebarwedge;	⌆
downarrow;	↓
downdownarrows;	⇊
downharpoonleft;	⇃
downharpoonright;	⇂
drbkarow;	⤐
drcorn;	⌟
drcrop;	⌌
dscr;	𝒹
dscy;	ѕ
dsol;	⧶
dstrok;	đ
dtdot;	⋱
dtri;	▿
dtrif;	▾
duarr;	⇵
duhar;	⥯
dwangle;	⦦
dzcy;	џ
dzigrarr;	⟿
eDDot;	⩷
eDot;	≑
eacute	é
easter;	⩮
ecaron;	ě
ecir;	≖
ecirc	ê
ecolon;	≕
ecy;	э
edot;	ė
ee;	ⅇ
efDot;	≒
efr;	𝔢
eg;	⪚
egrave	è
egs;	⪖
egsdot;	⪘
el;	⪙
elinters;	⏧
ell;	ℓ
els;	⪕
elsdot;	⪗
emacr;	ē
emptyset;	∅
emptyv;	∅
emsp13;	 
emsp14;	 
eng;	ŋ
eogon;	ę
eopf;	𝕖
epar;	⋕
eparsl;	⧣
eplus;	⩱
epsi;	ε
epsiv;	ϵ
eqcirc;	≖
eqcolon;	≕
eqsim;	≂
eqslantgtr;	⪖
eqslantless;	⪕
equals;	=
equest;	≟
equivDD;	⩸
eqvparsl;	⧥
erDot;	≓
erarr;	⥱
escr;	ℯ
esdot;	≐
esim;	≂
eth	ð
euml	ë
excl;	!
expectation;	ℰ
exponentiale;	ⅇ
fallingdotseq;	≒
fcy;	ф
female;	♀
ffilig;	ﬃ
fflig;	ﬀ
ffllig;	ﬄ
ffr;	𝔣
filig;	ﬁ
fjlig;	fj
flat;	♭
fllig;	ﬂ
fltns;	▱
fopf;	𝕗
fork;	⋔
forkv;	⫙
fpartint;	⨍
frac12	½
frac13;	⅓
frac14	¼
frac15;	⅕
frac16;	⅙
frac18;	⅛
frac23;	⅔
frac25;	⅖
frac34	¾
frac35;	⅗
frac38;	⅜
frac45;	⅘
frac56;	⅚
frac58;	⅝
frac78;	⅞
frown;	⌢
fscr;	𝒻
gE;	≧
gEl;	⪌
gacute;	ǵ
gammad;	ϝ
gap;	⪆
gbreve;	ğ
gcirc;	ĝ
gcy;	г
gdot;	ġ
gel;	⋛
geq;	≥
geqq;	≧
geqslant;	⩾
ges;	⩾
gescc;	⪩
gesdot;	⪀
gesdoto;	⪂
gesdotol;	⪄
gesl;	⋛︀
gesles;	⪔
gfr;	𝔤
gg;	≫
ggg;	⋙
gimel;	ℷ
gjcy;	ѓ
gl;	≷
glE;	⪒
gla;	⪥
glj;	⪤
gnE;	≩
gnap;	⪊
gnapprox;	⪊
gne;	⪈
gneq;	⪈
gneqq;	≩
gnsim;	⋧
gopf;	𝕘
grave;	`
gscr;	ℊ
gsim;	≳
gsime;	⪎
gsiml;	⪐
gt	>
gtcc;	⪧
gtcir;	⩺
gtdot;	⋗
gtlPar;	⦕
gtquest;	⩼
gtrapprox;	⪆
gtrarr;	⥸
gtrdot;	⋗
gtreqless;	⋛
gtreqqless;	⪌
gtrless;	≷
gtrsim;	≳
gvertneqq;	≩︀
gvnE;	≩︀
hairsp;	 
half;	½
hamilt;	ℋ
hardcy;	ъ
harrcir;	⥈
harrw;	↭
hbar;	ℏ
hcirc;	ĥ
heartsuit;	♥
hercon;	⊹
hfr;	𝔥
hksearow;	⤥
hkswarow;	⤦
hoarr;	⇿
homtht;	∻
hookleftarrow;	↩
hookrightarrow;	↪
hopf;	𝕙
horbar;	―
hscr;	𝒽
hslash;	ℏ
hstrok;	ħ
hybull;	⁃
hyphen;	‐
iacute	í
ic;	⁣
icirc	î
icy;	и
iecy;	е
iexcl	¡
iff;	⇔
ifr;	𝔦
igrave	ì
ii;	ⅈ
iiiint;	⨌
iiint;	∭
iinfin;	⧜
iiota;	℩
ijlig;	ĳ
imacr;	ī
imagline;	ℐ
imagpart;	ℑ
imath;	ı
imof;	⊷
imped;	Ƶ
in;	∈
incare;	℅
infintie;	⧝
inodot;	ı
intcal;	⊺
integers;	ℤ
intercal;	⊺
intlarhk;	⨗
intprod;	⨼
iocy;	ё
iogon;	į
iopf;	𝕚
iprod;	⨼
iquest	¿
iscr;	𝒾
isinE;	⋹
isindot;	⋵
isins;	⋴
isinsv;	⋳
isinv;	∈
it;	⁢
itilde;	ĩ
iukcy;	і
iuml	ï
jcirc;	ĵ
jcy;	й
jfr;	𝔧
jmath;	ȷ
jopf;	𝕛
jscr;	𝒿
jsercy;	ј
jukcy;	є
kappav;	ϰ
kcedil;	ķ
kcy;	к
kfr;	𝔨
kgreen;	ĸ
khcy;	х
kjcy;	ќ
kopf;	𝕜
kscr;	𝓀
lAarr;	⇚
lAtail;	⤛
lBarr;	⤎
lE;	≦
lEg;	⪋
lHar;	⥢
lacute;	ĺ
laemptyv;	⦴
lagran;	ℒ
langd;	⦑
langle;	⟨
lap;	⪅
laquo	«
larrb;	⇤
larrbfs;	⤟
larrfs;	⤝
larrhk;	↩
larrlp;	↫
larrpl;	⤹
larrsim;	⥳
larrtl;	↢
lat;	⪫
latail;	⤙
late;	⪭
lates;	⪭︀
lbarr;	⤌
lbbrk;	❲
lbrace;	{
lbrack;	[
lbrke;	⦋
lbrksld;	⦏
lbrkslu;	⦍
lcaron;	ľ
lcedil;	ļ
lcub;	{
lcy;	л
ldca;	⤶
ldquor;	„
ldrdhar;	⥧
ldrushar;	⥋
ldsh;	↲
leftarrow;	←
leftarrowtail;	↢
leftharpoondown;	↽
leftharpoonup;	↼
leftleftarrows;	⇇
leftrightarrow;	↔
leftrightarrows;	⇆
leftrightharpoons;	⇋
leftrightsquigarrow;	↭
leftthreetimes;	⋋
leg;	⋚
leq;	≤
leqq;	≦
leqslant;	⩽
les;	⩽
lescc;	⪨
lesdot;	⩿
lesdoto;	⪁
lesdotor;	⪃
lesg;	⋚︀
lesges;	⪓
lessapprox;	⪅
lessdot;	⋖
lesseqgtr;	⋚
lesseqqgtr;	⪋
lessgtr;	≶
lesssim;	≲
lfisht;	⥼
lfr;	𝔩
lg;	≶
lgE;	⪑
lhard;	↽
lharu;	↼
lharul;	⥪
lhblk;	▄
ljcy;	љ
ll;	≪
llarr;	⇇
llcorner;	⌞
llhard;	⥫
lltri;	◺
lmidot;	ŀ
lmoust;	⎰
lmoustache;	⎰
lnE;	≨
lnap;	⪉
lnapprox;	⪉
lne;	⪇
lneq;	⪇
lneqq;	≨
lnsim;	⋦
loang;	⟬
loarr;	⇽
lobrk;	⟦
longleftarrow;	⟵
longleftrightarrow;	⟷
longmapsto;	⟼
longrightarrow;	⟶
looparrowleft;	↫
looparrowright;	↬
lopar;	⦅
lopf;	𝕝
loplus;	⨭
lotimes;	⨴
lowbar;	_
lozenge;	◊
lozf;	⧫
lpar;	(
lparlt;	⦓
lrarr;	⇆
lrcorner;	⌟
lrhar;	⇋
lrhard;	⥭
lrtri;	⊿
lscr;	𝓁
lsh;	↰
lsim;	≲
lsime;	⪍
lsimg;	⪏
lsqb;	[
lsquor;	‚
lstrok;	ł
lt	<
ltcc;	⪦
ltcir;	⩹
ltdot;	⋖
lthree;	⋋
ltimes;	⋉
ltlarr;	⥶
ltquest;	⩻
ltrPar;	⦖
ltri;	◃
ltrie;	⊴
ltrif;	◂
lurdshar;	⥊
luruhar;	⥦
lvertneqq;	≨︀
lvnE;	≨︀
mDDot;	∺
macr	¯
male;	♂
malt;	✠
maltese;	✠
map;	↦
mapsto;	↦
mapstodown;	↧
mapstoleft;	↤
mapstoup;	↥
marker;	▮
mcomma;	⨩
mcy;	м
measuredangle;	∡
mfr;	𝔪
mho;	℧
micro	µ
mid;	∣
midast;	*
midcir;	⫰
middot	·
minusb;	⊟
minusd;	∸
minusdu;	⨪
mlcp;	⫛
mldr;	…
mnplus;	∓
models;	⊧
mopf;	𝕞
mp;	∓
mscr;	𝓂
mstpos;	∾
multimap;	⊸
mumap;	⊸
nGg;	⋙̸
nGt;	≫⃒
nGtv;	≫̸
nLeftarrow;	⇍
nLeftrightarrow;	⇎
nLl;	⋘̸
nLt;	≪⃒
nLtv;	≪̸
nRightarrow;	⇏
nVDash;	⊯
nVdash;	⊮
nacute;	ń
nang;	∠⃒
nap;	≉
napE;	⩰̸
napid;	≋̸
napos;	ŉ
napprox;	≉
natur;	♮
natural;	♮
naturals;	ℕ
nbsp	 
nbump;	≎̸
nbumpe;	≏̸
ncap;	⩃
ncaron;	ň
ncedil;	ņ
ncong;	≇
ncongdot;	⩭̸
ncup;	⩂
ncy;	н
neArr;	⇗
nearhk;	⤤
nearr;	↗
nearrow;	↗
nedot;	≐̸
nequiv;	≢
nesear;	⤨
nesim;	≂̸
nexist;	∄
nexists;	∄
nfr;	𝔫
ngE;	≧̸
nge;	≱
ngeq;	≱
ngeqq;	≧̸
ngeqslant;	⩾̸
nges;	⩾̸
ngsim;	≵
ngt;	≯
ngtr;	≯
nhArr;	⇎
nharr;	↮
nhpar;	⫲
nis;	⋼
nisd;	⋺
niv;	∋
njcy;	њ
nlArr;	⇍
nlE;	≦̸
nlarr;	↚
nldr;	‥
nle;	≰
nleftarrow;	↚
nleftrightarrow;	↮
nleq;	≰
nleqq;	≦̸
nleqslant;	⩽̸
nles;	⩽̸
nless;	≮
nlsim;	≴
nlt;	≮
nltri;	⋪
nltrie;	⋬
nmid;	∤
nopf;	𝕟
not	¬
notinE;	⋹̸
notindot;	⋵̸
notinva;	∉
notinvb;	⋷
notinvc;	⋶
notni;	∌
notniva;	∌
notnivb;	⋾
notnivc;	⋽
npar;	∦
nparallel;	∦
nparsl;	⫽⃥
